,precision,recall,f1-score,support
476,0.0,0.0,0.0,1.0
477,0.0,0.0,0.0,1.0
478,0.0,0.0,0.0,1.0
479,1.0,1.0,1.0,1.0
480,0.0,0.0,0.0,3.0
481,0.0,0.0,0.0,6.0
482,1.0,1.0,1.0,1.0
483,0.6666666666666666,0.4,0.5,5.0
484,0.0,0.0,0.0,2.0
485,0.0,0.0,0.0,1.0
486,1.0,0.5,0.6666666666666666,2.0
487,0.0,0.0,0.0,3.0
488,0.0,0.0,0.0,1.0
489,0.0,0.0,0.0,2.0
490,1.0,1.0,1.0,2.0
491,0.0,0.0,0.0,3.0
492,0.0,0.0,0.0,3.0
493,0.5,1.0,0.6666666666666666,1.0
494,0.5,1.0,0.6666666666666666,1.0
495,0.0,0.0,0.0,1.0
496,0.0,0.0,0.0,1.0
497,0.0,0.0,0.0,1.0
498,0.0,0.0,0.0,2.0
499,0.0,0.0,0.0,1.0
500,0.0,0.0,0.0,1.0
501,1.0,1.0,1.0,3.0
502,0.0,0.0,0.0,1.0
503,0.0,0.0,0.0,2.0
504,0.0,0.0,0.0,1.0
505,0.0,0.0,0.0,1.0
506,0.5,1.0,0.6666666666666666,1.0
507,0.0,0.0,0.0,1.0
508,1.0,1.0,1.0,1.0
509,0.5,1.0,0.6666666666666666,1.0
510,1.0,1.0,1.0,1.0
511,0.0,0.0,0.0,1.0
512,1.0,1.0,1.0,1.0
513,1.0,1.0,1.0,3.0
514,0.5,1.0,0.6666666666666666,2.0
515,0.0,0.0,0.0,1.0
516,0.0,0.0,0.0,1.0
517,1.0,1.0,1.0,1.0
518,0.6,1.0,0.75,3.0
519,0.5,1.0,0.6666666666666666,1.0
520,1.0,1.0,1.0,1.0
521,1.0,1.0,1.0,1.0
522,0.0,0.0,0.0,1.0
523,0.0,0.0,0.0,1.0
524,0.0,0.0,0.0,2.0
525,1.0,1.0,1.0,9.0
526,0.0,0.0,0.0,1.0
527,0.2,0.5,0.2857142857142857,2.0
528,0.8,0.6666666666666666,0.7272727272727273,6.0
529,0.0,0.0,0.0,1.0
530,1.0,1.0,1.0,2.0
531,0.5,0.3333333333333333,0.4,9.0
532,0.5,1.0,0.6666666666666666,1.0
533,0.5,1.0,0.6666666666666666,1.0
534,0.0,0.0,0.0,1.0
535,1.0,1.0,1.0,3.0
536,0.5,1.0,0.6666666666666666,1.0
537,1.0,1.0,1.0,3.0
538,0.0,0.0,0.0,1.0
539,1.0,1.0,1.0,1.0
540,1.0,1.0,1.0,1.0
541,0.0,0.0,0.0,1.0
542,1.0,1.0,1.0,2.0
543,1.0,1.0,1.0,2.0
544,0.0,0.0,0.0,1.0
545,1.0,1.0,1.0,2.0
546,0.0,0.0,0.0,1.0
547,1.0,1.0,1.0,2.0
548,1.0,1.0,1.0,2.0
549,0.0,0.0,0.0,1.0
550,1.0,1.0,1.0,6.0
551,1.0,1.0,1.0,4.0
552,0.0,0.0,0.0,1.0
553,0.0,0.0,0.0,1.0
554,1.0,1.0,1.0,2.0
555,0.0,0.0,0.0,1.0
556,0.0,0.0,0.0,1.0
557,1.0,1.0,1.0,1.0
558,1.0,1.0,1.0,2.0
559,0.0,0.0,0.0,2.0
560,1.0,1.0,1.0,1.0
561,1.0,0.6666666666666666,0.8,3.0
562,0.0,0.0,0.0,3.0
563,0.7619047619047619,1.0,0.8648648648648649,32.0
564,0.0,0.0,0.0,1.0
565,0.8421052631578947,0.9795918367346939,0.9056603773584906,49.0
566,0.0,0.0,0.0,1.0
567,1.0,1.0,1.0,1.0
568,1.0,1.0,1.0,8.0
569,1.0,1.0,1.0,7.0
570,0.0,0.0,0.0,1.0
571,1.0,1.0,1.0,1.0
572,1.0,1.0,1.0,1.0
573,0.0,0.0,0.0,1.0
574,0.6666666666666666,1.0,0.8,4.0
575,0.0,0.0,0.0,1.0
576,1.0,1.0,1.0,3.0
577,1.0,1.0,1.0,1.0
578,1.0,1.0,1.0,1.0
579,1.0,1.0,1.0,1.0
580,1.0,1.0,1.0,1.0
581,1.0,1.0,1.0,1.0
582,1.0,1.0,1.0,1.0
583,0.0,0.0,0.0,1.0
584,1.0,1.0,1.0,2.0
585,0.0,0.0,0.0,2.0
586,1.0,1.0,1.0,3.0
587,0.0,0.0,0.0,1.0
588,1.0,1.0,1.0,1.0
