Model,Nb_Layer_Block,Dropout,Input_Type,Layer_size,pLDDT_threshold,F1_Score
ProstT5_full,2,0.0,3Di,1024,0.0,0.630396227740625
ProstT5_full,2,0.0,3Di,1024,14.0,0.6219649716811374
ProstT5_full,2,0.0,3Di,1024,24.0,0.6397857235292381
ProstT5_full,2,0.0,3Di,1024,34.0,0.6223104281153933
ProstT5_full,2,0.0,3Di,1024,44.0,0.6237959305401513
ProstT5_full,2,0.0,3Di,1024,54.0,0.6177708720491201
ProstT5_full,2,0.0,3Di,1024,64.0,0.6314631271389208
ProstT5_full,3,0.0,3Di,1024,0.0,0.6116768051975777
ProstT5_full,3,0.0,3Di,1024,14.0,0.6231646894074535
ProstT5_full,3,0.0,3Di,1024,24.0,0.6106919640958192
ProstT5_full,3,0.0,3Di,1024,34.0,0.6245653813226394
ProstT5_full,3,0.0,3Di,1024,44.0,0.6302975299910035
ProstT5_full,3,0.0,3Di,1024,54.0,0.6277001319839799
ProstT5_full,3,0.0,3Di,1024,64.0,0.6105077104811425
ProstT5_full,1,0.2,3Di,512,0.0,0.6447063376977776
ProstT5_full,1,0.2,3Di,512,14.0,0.6434734963830292
ProstT5_full,1,0.2,3Di,512,24.0,0.639973979765138
ProstT5_full,1,0.2,3Di,512,34.0,0.6440374641133163
ProstT5_full,1,0.2,3Di,512,44.0,0.6434013583166696
ProstT5_full,1,0.2,3Di,512,54.0,0.6482639979097546
ProstT5_full,1,0.2,3Di,512,64.0,0.6507889971159805
ProstT5_full,2,0.2,3Di,512,14.0,0.6467868210388924
ProstT5_full,2,0.2,3Di,512,24.0,0.6498919376954044
ProstT5_full,2,0.2,3Di,512,34.0,0.6394182565171735
ProstT5_full,2,0.2,3Di,512,44.0,0.643819878167321
ProstT5_full,2,0.2,3Di,512,54.0,0.6447196617155323
ProstT5_full,2,0.2,3Di,512,64.0,0.6426198809678848
ProstT5_full,3,0.2,3Di,512,0.0,0.6380504977686882
ProstT5_full,3,0.2,3Di,512,14.0,0.6435521565157618
ProstT5_full,3,0.2,3Di,512,24.0,0.6381533863518054
ProstT5_full,3,0.2,3Di,512,34.0,0.6419183390402297
ProstT5_full,3,0.2,3Di,512,44.0,0.6483730448335095
ProstT5_full,3,0.2,3Di,512,54.0,0.6423429296457963
ProstT5_full,3,0.2,3Di,512,64.0,0.6417464300593381
ProstT5_full,1,0.2,3Di,1024,0.0,0.6409428774837097
ProstT5_full,1,0.2,3Di,1024,14.0,0.6395577491836645
ProstT5_full,1,0.2,3Di,1024,24.0,0.6467182672154774
ProstT5_full,1,0.2,3Di,1024,34.0,0.6474226754042625
ProstT5_full,1,0.2,3Di,1024,44.0,0.6463643536371232
ProstT5_full,1,0.2,3Di,1024,54.0,0.6445999573737675
ProstT5_full,1,0.2,3Di,1024,64.0,0.6444754110770405
ProstT5_full,2,0.2,3Di,1024,0.0,0.653180972693675
ProstT5_full,2,0.2,3Di,1024,14.0,0.662212393479996
ProstT5_full,2,0.2,3Di,1024,24.0,0.6503497895945778
ProstT5_full,2,0.2,3Di,1024,34.0,0.6481906189539894
ProstT5_full,2,0.2,3Di,1024,44.0,0.6520283283861557
ProstT5_full,2,0.2,3Di,1024,54.0,0.6537726372725563
ProstT5_full,2,0.2,3Di,1024,64.0,0.6470265927896296
ProstT5_full,3,0.2,3Di,1024,0.0,0.6447012240256542
ProstT5_full,3,0.2,3Di,1024,14.0,0.6587851058671009
ProstT5_full,3,0.2,3Di,1024,24.0,0.6495191834574995
ProstT5_full,3,0.2,3Di,1024,34.0,0.6496529832368232
ProstT5_full,3,0.2,3Di,1024,44.0,0.6504858432533793
ProstT5_full,3,0.2,3Di,1024,54.0,0.6537730080385669
ProstT5_full,3,0.2,3Di,1024,64.0,0.6510759687070999
ProstT5_full,1,0.3,3Di,512,0.0,0.6388805393455359
ProstT5_full,1,0.3,3Di,512,14.0,0.6417391121319527
ProstT5_full,1,0.3,3Di,512,24.0,0.6411946108418788
ProstT5_full,1,0.3,3Di,512,34.0,0.6383165277389691
ProstT5_full,1,0.3,3Di,512,44.0,0.6432854103761245
ProstT5_full,1,0.3,3Di,512,54.0,0.6435489636522083
ProstT5_full,1,0.3,3Di,512,64.0,0.6464893668787649
ProstT5_full,2,0.3,3Di,512,0.0,0.6446399881966998
ProstT5_full,2,0.3,3Di,512,14.0,0.6520089690502641
ProstT5_full,2,0.3,3Di,512,24.0,0.6375980873120829
ProstT5_full,2,0.3,3Di,512,34.0,0.6491664012218896
ProstT5_full,2,0.3,3Di,512,44.0,0.6457323983659113
ProstT5_full,2,0.3,3Di,512,54.0,0.6439167013377303
ProstT5_full,2,0.3,3Di,512,64.0,0.6481941969905817
ProstT5_full,3,0.3,3Di,512,0.0,0.6277725429247928
ProstT5_full,3,0.3,3Di,512,14.0,0.6327954967626945
ProstT5_full,3,0.3,3Di,512,24.0,0.6356327881283306
ProstT5_full,3,0.3,3Di,512,34.0,0.6353160915021717
ProstT5_full,3,0.3,3Di,512,44.0,0.6348755949236927
ProstT5_full,3,0.3,3Di,512,54.0,0.6322555845293405
ProstT5_full,3,0.3,3Di,512,64.0,0.6357100600339524
ProstT5_full,1,0.3,3Di,1024,0.0,0.6396669901852085
ProstT5_full,1,0.3,3Di,1024,14.0,0.6451434584930269
ProstT5_full,1,0.3,3Di,1024,24.0,0.6444905918174041
ProstT5_full,1,0.3,3Di,1024,34.0,0.6436528702716261
ProstT5_full,1,0.3,3Di,1024,44.0,0.6423558096183616
ProstT5_full,1,0.3,3Di,1024,54.0,0.6381034202834429
ProstT5_full,1,0.3,3Di,1024,64.0,0.6435545733509488
ProstT5_full,2,0.3,3Di,1024,0.0,0.6552841521093866
ProstT5_full,2,0.3,3Di,1024,14.0,0.6557254544191898
ProstT5_full,2,0.3,3Di,1024,24.0,0.6567065387568524
ProstT5_full,2,0.3,3Di,1024,34.0,0.6497936500173505
ProstT5_full,2,0.3,3Di,1024,44.0,0.6568218475453179
ProstT5_full,2,0.3,3Di,1024,54.0,0.6482357204941727
ProstT5_full,2,0.3,3Di,1024,64.0,0.6497493853529197
ProstT5_full,3,0.3,3Di,1024,0.0,0.6448391424338737
ProstT5_full,3,0.3,3Di,1024,14.0,0.6484263946011756
ProstT5_full,3,0.3,3Di,1024,24.0,0.6459298979320198
ProstT5_full,3,0.3,3Di,1024,34.0,0.6436832694224649
ProstT5_full,3,0.3,3Di,1024,44.0,0.6516872500671269
ProstT5_full,3,0.3,3Di,1024,54.0,0.6499124494517431
ProstT5_full,3,0.3,3Di,1024,64.0,0.6463380714423842
ProstT5_full,2,0.3,AA+3Di,1024,14.0,0.7946158201187176
ProstT5_full,2,0.3,AA+3Di,1024,24.0,0.7909313527953375
ProstT5_full,2,0.3,AA+3Di,1024,34.0,0.7998593677642057
ProstT5_full,2,0.3,AA+3Di,1024,44.0,0.7894643882920638
ProstT5_full,2,0.3,AA+3Di,1024,54.0,0.7957041982686675
ProstT5_full,2,0.3,AA+3Di,1024,64.0,0.7929771381918296
ProstT5_full,2,0.3,AA+3Di,1024,74.0,0.778217125946778
ProstT5_full,2,0.3,AA+3Di,1024,84.0,0.7151539121408145
ProstT5_full,2,0.3,3Di,256,0.0,0.6245690455790466
ProstT5_full,2,0.3,3Di,2048,0.0,0.6545554881965279
ProstT5_full,2,0.3,AA,2048,0.0,0.7856971146889555
ProstT5_full,2,0.3,AA+3Di,512,0.0,0.7864813143315575
ProstT5_full,2,0.3,AA+3Di,256,0.0,0.7824840302165618
ProstT5_full,2,0.1,3Di,1024,0.0,0.6440237970720785
ProstT5_full,2,0.5,3Di,1024,0.0,0.637043891638795
ProstT5_full,2,0.7,3Di,1024,0.0,0.5680802952468935
ProstT5_full,2,0.0,AA,1024,0.0,0.7694764669012413
ProstT5_full,2,0.7,AA,1024,0.0,0.7337632136333497
ProstT5_full,2,0.0,AA+3Di,1024,0.0,0.7791552038180449
ProstT5_full,2,0.1,AA+3Di,1024,0.0,0.7940009732587835
ProstT5_full,2,0.2,AA+3Di,1024,0.0,0.7970657288268609
