396,789,1
397,397,2
398,398,1
399,399,2
399,939,1
399,1485,1
400,400,1
401,280,1
401,939,1
402,402,1
403,403,1
404,1586,1
405,405,1
406,406,1
407,1006,1
407,1142,1
408,408,1
409,409,1
410,517,1
411,411,1
412,412,2
413,413,1
414,414,1
415,415,1
416,326,1
417,417,1
418,418,1
419,419,1
420,420,2
421,421,1
422,422,1
423,423,5
423,1541,1
424,449,1
425,178,1
425,414,1
425,425,2
426,189,1
426,426,7
426,449,2
426,453,1
426,719,1
426,934,1
426,1142,1
427,453,2
428,428,1
429,1524,1
430,679,1
431,1206,1
432,35,1
433,433,2
434,1043,1
435,0,1
435,72,1
435,138,1
435,178,1
435,242,1
435,254,1
435,258,1
435,435,12
435,436,2
435,449,1
435,453,4
435,470,1
435,717,1
435,842,1
435,1226,1
435,1358,1
435,1419,1
435,1586,1
435,1621,1
436,436,2
437,79,1
438,178,1
438,438,1
439,496,1
439,947,1
440,114,1
441,441,1
442,323,1
442,442,1
442,696,1
442,1030,1
442,1218,1
443,1531,1
444,444,1
445,782,1
446,1684,1
447,447,1
448,448,1
449,449,2
449,1226,1
449,1538,1
450,1541,1
451,32,1
451,453,1
451,1029,1
452,452,1
453,80,1
453,436,2
453,449,1
453,453,4
453,1202,1
454,454,1
455,1495,1
456,449,1
456,453,1
457,685,1
458,449,1
458,453,1
458,782,1
459,1528,1
460,453,1
461,461,1
462,178,1
462,436,1
462,462,2
462,499,1
462,1026,1
462,1358,1
462,1419,2
462,1524,1
462,1528,1
463,453,2
464,178,1
464,484,1
464,521,1
464,1229,1
465,1419,1
466,85,1
466,178,1
466,685,1
466,797,1
466,1315,1
466,1447,1
467,1069,1
468,468,1
469,469,1
470,95,1
470,453,1
470,1669,1
471,61,1
471,178,1
471,222,1
471,435,2
471,1202,1
472,472,1
473,179,1
473,253,1
473,473,2
473,1258,1
474,971,1
474,1194,1
475,117,1
476,448,1
476,476,1
477,0,1
477,1254,1
477,1358,1
478,323,1
479,337,1
479,479,1
480,452,1
480,480,1
481,156,1
481,1543,1
481,1560,1
482,1069,1
482,1524,1
482,1621,1
483,425,1
484,1218,1
485,1524,1
486,80,1
487,1516,1
488,488,2
489,489,1
490,779,1
491,491,3
492,492,1
493,522,1
493,1142,1
494,494,1
495,495,1
496,496,1
497,1518,1
498,498,1
499,499,1
500,842,1
501,499,1
502,555,1
503,503,3
504,504,1
504,1531,1
505,1606,1
506,506,1
507,507,1
508,508,3
509,509,1
510,510,1
511,511,1
512,512,1
513,961,1
514,514,1
515,515,9
516,516,1
517,292,1
517,517,1
518,518,4
518,555,1
518,679,1
519,417,1
520,520,2
521,0,1
521,7,1
521,178,2
521,476,1
521,521,3
521,1528,1
522,522,1
523,523,1
524,1110,1
525,525,3
526,526,1
527,527,3
528,528,1
529,529,1
530,530,1
531,1509,1
532,532,2
533,533,2
534,775,1
535,535,2
536,80,1
537,537,2
538,538,1
538,696,1
539,588,1
540,540,6
541,541,4
542,542,1
543,370,1
544,544,2
545,156,1
546,546,1
547,547,1
548,548,2
549,553,1
549,1448,1
550,0,1
551,551,3
552,0,1
552,552,1
552,1541,1
553,553,32
554,553,1
555,555,46
555,564,1
555,570,1
555,609,1
556,555,1
557,555,1
558,558,7
558,1531,1
559,559,7
560,560,1
561,1677,1
562,562,1
563,961,1
564,564,4
565,565,1
566,566,3
567,567,1
568,568,1
569,569,1
570,570,1
571,571,1
572,572,1
